Item,Designator,Comment,Footprint,Qty,LCSC Part #,MPN,Manufacturer
1,"C1,C9,C10",100nF,Capacitor_SMD:C_0402_1005Metric,3,C1525,,
2,C2,1uF,Capacitor_SMD:C_0402_1005Metric,1,C29266,,
3,C3,10uF,Capacitor_SMD:C_0805_2012Metric,1,C15850,,
4,"C4,C6",22uF,Capacitor_SMD:C_1206_3216Metric,2,C12891,,
5,"C5,C8",220uF 25V,Capacitor_SMD:CP_Elec_6.3x7.7,2,C4747974,RST220UF25V019,generic
6,D1,STAT,LED_SMD:LED_0402_1005Metric,1,C160479,LTST-C281KGKT,Lite-On
7,"D2,D3",SS34,Diode_SMD:D_SMA,2,C8678,SS34,MDD
8,J2,I2C JST-PH RA,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,C157926,S4B-PH-K-S,JST
9,J3,SOLENOID 12V,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,C173752,S2B-PH-K-S,JST
12,J6,HALL DOOR,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,C157929,S3B-PH-K-S,JST
13,J7,HALL BOLT,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,C157929,S3B-PH-K-S,JST
15,L1,10uH,Inductor_SMD:L_Changjiang_FNR6045S,1,C168076,FNR6045S100MT,Changjiang
16,"Q1,Q2,Q4,Q5",AO3400A,Package_TO_SOT_SMD:SOT-23,4,C20917,AO3400A,AOS
17,Q3,AO3401A,Package_TO_SOT_SMD:SOT-23,1,C15127,AO3401A,AOS
18,"R1,R15,R24",1k,Resistor_SMD:R_0402_1005Metric,3,C11702,,
19,"R2,R6,R18,R19,R20",100k,Resistor_SMD:R_0402_1005Metric,5,C25741,,
20,R3,200k,Resistor_SMD:R_0402_1005Metric,1,C25764,,
21,R4,22k,Resistor_SMD:R_0402_1005Metric,1,C25768,,
22,R5,100R,Resistor_SMD:R_0402_1005Metric,1,C106232,,
23,R13,0R,Resistor_SMD:R_0402_1005Metric,1,C17168,,
24,"R16,R21,R22,R23,R25",10k,Resistor_SMD:R_0402_1005Metric,5,C25744,,
25,R17,20k,Resistor_SMD:R_0402_1005Metric,1,C25765,,
26,U1,ATtiny1616,Package_DFN_QFN:VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,C507118,ATTINY1616-MNR,Microchip
27,U2,MT3608,Package_TO_SOT_SMD:SOT-23-6,1,C84817,MT3608,Aerosemi
